form,dependencies
cop-gn1-eng.pdf.txt,"c(""n2"", ""n1"", ""cop44"", ""cop9"", ""cop4"", ""cop3"", ""cop1a"", ""cop1"", ""n10"")"
cop-gn2-cym.pdf.txt,"c(""n208"", ""n20"", ""n2"", ""cop24"", ""cop12"", ""cop2"", ""cop1"")"
cop-gn2-eng.pdf.txt,"c(""n20"", ""n2"", ""cop44"", ""cop24"", ""cop12"", ""cop4"", ""cop2"", ""cop1d"", ""cop1"", ""n209"")"
cop-gn3-cym.pdf.txt,"c(""n30"", ""n5"", ""n3"", ""n2"", ""cop44"", ""cop24"", ""cop9"", ""cop4"", ""cop3"", ""cop2"", ""cop1b"", ""cop1a"", ""cop1"", ""d1"", ""d12"")"
cop-gn3-eng.pdf.txt,"c(""n30"", ""n8"", ""n3"", ""n2"", ""cop44"", ""cop24"", ""cop4"", ""cop2"", ""cop1e"", ""cop1"", ""n309"")"
cop-gn4-cym.pdf.txt,"c(""cop44"", ""cop42"", ""cop35"", ""cop28"", ""cop24"", ""cop20b"", ""cop20"", ""cop20a"", ""cop14"", ""cop15"", ""cop10"", ""cop9"", ""cop5"", ""cop4"", ""cop3"", ""cop2"", ""cop1"", ""n40"")"
cop-gn4-eng.pdf.txt,"c(""cop44"", ""cop35"", ""cop28"", ""cop24"", ""cop20b"", ""cop20"", ""cop20a"", ""cop14"", ""cop15"", ""cop10"", ""cop9"", ""cop5"", ""cop4"", ""cop3"", ""cop2"", ""cop1b"", ""cop1"", ""n40"")"
cop-gn5-cym.pdf.txt,"c(""n5"", ""ex160"", ""cop24"", ""cop20"", ""cop20a"", ""cop14"", ""cop9"", ""cop2"", ""cop1"", ""c8"", ""c7"", ""c5"", ""c4"", ""c2"", ""c3"", ""c1"", ""a5"", ""a2"", ""a4"", ""a1"", ""n51"", ""c6"", ""a3"", ""a6"", ""a7"", ""a8"", ""a9"")"
cop-gn5-eng.pdf.txt,"c(""n5"", ""ex160a"", ""ex160"", ""cop44"", ""cop24"", ""cop20"", ""cop20a"", ""cop14"", ""cop9"", ""cop4"", ""cop2"", ""cop1"", ""c2"", ""c1"", ""a5"", ""a2"", ""a4"", ""a1"", ""n50"", ""a3"", ""a6"", ""a7"", ""a8"", ""a9"")"
cop-gn6-cym.pdf.txt,"c(""n6"", ""n60"")"
cop-gn7-cym.pdf.txt,"c(""n7"", ""n70"")"
cop-gn8-cym.pdf.txt,"c(""n8"", ""cop42"", ""cop4"", ""cop1"", ""n80"")"
cop-gn8-eng.pdf.txt,"c(""n8"", ""cop44"", ""cop4"", ""cop3"", ""cop1c"", ""cop1"", ""n80"")"
cop1-bil.pdf.txt,none detected
cop1-cym.pdf.txt,"c(""n9b"", ""n8b"", ""n8"", ""n9"", ""n7"", ""n6"", ""n5"", ""n3"", ""n2a"", ""n2"", ""n1c"", ""n1"")"
cop1-eng.pdf.txt,"c(""n8"", ""n3"", ""n2"", ""n1"", ""cop44"", ""cop42"", ""cop35"", ""cop24"", ""cop12"", ""cop10"", ""cop9"", ""cop4"", ""cop3"", ""cop2"", ""cop1d"", ""cop1b"", ""cop1a"", ""cop1e"", ""cop1c"", ""cop1f"", ""cop1"", ""a1"", ""d3"")"
cop10-bil.pdf.txt,"c(""te3"", ""n3"", ""n2b"", ""n2"", ""n1"", ""cop10"", ""cop9"", ""cop1"")"
cop10-cym.pdf.txt,"c(""cop10"", ""cop9"", ""cop1"", ""c1a"", ""c1"")"
cop10-eng.pdf.txt,"c(""te3"", ""n2"", ""cop44"", ""cop24"", ""cop15"", ""cop10"", ""cop9"", ""cop5"", ""cop4"", ""cop2"", ""cop1"")"
cop12-cym.pdf.txt,cop1
cop12-eng.pdf.txt,cop1
cop14-bil.pdf.txt,"c(""cop14"", ""cop1"")"
cop14-cym.pdf.txt,"c(""cop14"", ""cop1"")"
cop14-eng.pdf.txt,"c(""cop14"", ""cop1"")"
cop14a-eng.pdf.txt,"c(""cop20"", ""cop20a"", ""cop14"", ""cop14a"", ""cop5"", ""cop2"", ""cop1"")"
cop15-bil.pdf.txt,"c(""cop15"", ""cop1"")"
cop15-cym.pdf.txt,"c(""cop15"", ""cop5"", ""cop1"")"
cop15-eng.pdf.txt,"c(""cop15"", ""cop5"", ""cop1"")"
cop15a-eng.pdf.txt,"c(""cop20b"", ""cop20"", ""cop15a"", ""cop15"", ""cop5"", ""cop2"", ""cop1"")"
cop1a-bil.pdf.txt,a1
cop1a-eng.pdf.txt,"c(""t94"", ""n3"", ""n1"", ""cop1a"", ""cop1"")"
cop1b-bil.pdf.txt,b1
cop1b-eng.pdf.txt,"c(""cop44"", ""cop24"", ""cop4"", ""cop3"", ""cop2"", ""cop1b"", ""cop1"", ""a1"")"
cop1c-eng.pdf.txt,"c(""n3"", ""cop24"", ""cop3"", ""cop2"", ""cop1a"", ""cop1c"", ""cop1"")"
